news,CorpBondA,CorpBondB,CorpBondC,GovtBondY2,GovtBondY5,GovtBondY10
BANK OF CANADA INCREASES OVERNIGHT INTEREST RATE - Bank of Canada has increased the overnight interest rate by 0.5% unexpectedly.,-0.0031669431458304365,0.005380746286115956,0.0036128067771274974,-0.004772795068111346,9.947279419120214e-05,0.0020773568107630425
"BOC SOLD MORE 3- AND 5- YEAR BONDS - Bank of Canada sold $3 billion each of 3-Year and 5-Year bonds yesterday. The bid-to-cover ratios, which gauge demand by comparing the amount offered to the amount sold, were greater than 2.50 for both maturities. This showed greater than expected demand.",-0.004163692600523516,-0.002142092109960747,-0.001823281907432972,0.0015727907205353997,0.006026401377463131,0.00220032526547409
"CANADA UNEMPLOYMENT RATE INCREASES - Statistics Canada released Canadian unemployment figures, which showed an increase in the unemployment rate from 5.8% to 6.3% over the previous month. Analysts believe that this is a signal of economic slowdown.",0.03230597846268135,0.04143947655398028,0.035083415112856065,0.0012746347681147352,0.011379378586977795,0.05128466557911926
"CANADIAN JOB REPORTS - Canadian economy added 12,500 jobs last month, and unemployment rate has fallen to 7.2%, though partly was due to falling labor participation",-0.008581586367536809,0.0042058386937167125,-0.0024712714691706994,0.000489045383411435,2.220446049250313e-16,0.0028797696184303945
"CANADIAN NON-FARM PAYROLL AND LABOR FORCE PARTICIPATION RATE - Canadian Non-farm payrolls rose by a consensus-topping 32800, while household survey saw a re-entry of workers into the labor force, with the participation rate up a tick to 63.5%",0.003984063745019917,-0.00027431079412865156,0.0007118451025054373,0.001704260651629541,0.0033648790746589885,0.003849743350442969
"CANADIAN NON-FARM PAYROLL AND UNEMPLOYMENT RATE RELEASED - Canadian Non-farm payrolls last month added 276,00 new jobs exceeding expectations of 19,600. Unemployment decreases to 7.6% on rising labor participation.",-0.0024705882352937802,-0.0031678986272436482,-0.00833680700291739,-0.0012740101920811764,-0.005304537273846166,-0.007637186498208437
"CANADIAN RETAIL SALES DATA - Canadian retail sales last month declined by 0.4%, which was below market expectations (0.00%). ",0.0008836152486748627,-0.00012615112905178805,0.0036597677940435336,-0.0015786877158355805,-0.0020130850528427002,-0.0034674792476619976
CPI INCREASES - The Statistics Canada Consumer Price Index (CPI) release showed headline inflation increased by 2.8% from January 2017 to January of 2018. Investors speculate that the Bank of Canada will take some kind of action to control inflation.,0.003717011522736291,-0.00555555555555487,0.0017230769230769383,0.0018612852664574575,-0.0009941346058253142,0.0011253196930949283
CREDIT SPREAD - The credit rating agencies are expecting an increase in the credit spreads in the near future,-0.0013024225058605454,0.008458895056833837,6.661338147750939e-16,0.0005942359116573037,-0.0006097560975606431,0.0009976720984368193
CREDIT SPREAD - The credit spread for AAA has been changed to 0.30%<br>The credit spread for AA+ has been changed to 0.35%<br>The credit spread for AA has been changed to 0.40%<br>The credit spread for AA- has been changed to 0.45%<br>The credit spread for A+ has been changed to 0.50%<br>The credit spread for A has been changed to 0.55%<br>The credit spread for A- has been changed to 0.65%<br>The credit spread for BBB+ has been changed to 0.95%<br>The credit spread for BBB has been changed to 1.20%<br>The credit spread for BBB- has been changed to 1.55%<br>The credit spread for BB+ has been changed to 1.95%<br>The credit spread for BB has been changed to 2.55%<br>The credit spread for BB- has been changed to 3.25%<br>The credit spread for B+ has been changed to 4.05%,0.00799161535438242,6.661338147750939e-16,-0.02535657686212356,-0.001783944499504253,0.00010166734444916337,0.00011074197120719553
CREDIT SPREAD UPDATE - The credit spread for AAA has been changed to 0.35%<br>The credit spread for AA+ has been changed to 0.40%<br>The credit spread for AA has been changed to 0.45%<br>The credit spread for AA- has been changed to 0.50%<br>The credit spread for A+ has been changed to 0.55%<br>The credit spread for A has been changed to 0.60%<br>The credit spread for A- has been changed to 0.70%<br>The credit spread for BBB+ has been changed to 1.00%<br>The credit spread for BBB has been changed to 1.25%<br>The credit spread for BBB- has been changed to 1.60%<br>The credit spread for BB+ has been changed to 2.00%<br>The credit spread for BB has been changed to 2.60%<br>The credit spread for BB- has been changed to 3.30%<br>The credit spread for B+ has been changed to 4.10%,0.0024041351123933463,0.004121212121212636,-0.004022240624629969,-0.003908158280409912,-0.002247630215967744,0.0007953076846607399
"GOLD PRICES DROP  - Gold prices drop to $1200, forcing many mining companies out of business.",0.000297840655249626,0.0013294336612603708,-0.009747563109222535,0.0008979347500748247,0.002505261048201257,0.003941782898726709
INFLATION SLOWS DOWN - Statistics Canada released a 0.01% month-over-month increase in the Consumer Price Index increase over November. This marks another weak increase in CPI; macroeconomic analysts do not expect inflation to hit the target 2.0% this year but Bank of Canada analysts opinions are split.,0.01781170483460559,0.013758231420508471,0.01703910614525106,0.0006858038600963123,0.010661383149353387,0.028859891418230532
"INTENTION TO INCREASE OVERNIGHT RATE - In a statement released by the Bank of Canada today, Poloz announced an intention to raise the overnight rate by 50 bps. He cited a persistent inflation rate above 2.5% as the main reason.",0.007953118459606445,0.00542857142857156,0.0015806868802994423,-0.0017992802878843417,-0.005448449287509982,0.0031787143866262024
"NEWS REGARDING ACKROYD SHIPPING - Ackroyd Shipping has announced that it would pay a special dividend to all its common shareholders after receiving important distributions from one of its subsidiaries. The company will return 4/5 of the distributions to its shareholders, and this will have a direct impact on the retained earnings. In total, the dividends received from its subsidiary amount for  $500 million.",-0.001172882946282039,0.0054290097958220596,-0.0019479615973280184,0.00039200313602516523,0.0003790391357909595,0.0006599415480346149
"NEWS REGARDING ACKROYD SHIPPING - Ackroyd Shipping has announced that it would pay a special dividend to all its common shareholders after receiving important distributions from one of its subsidiaries. The company will return 4/5 of the distributions to its shareholders, and this will have a direct impact on the retained earnings. In total, the dividends received from its subsidiary amount for  50 percentage points.",0.0062627637848879925,0.004658385093167849,0.0009861932938859397,-0.001388888888888773,0.003137747097584187,0.009621993127147732
NEWS REGARDING ACKROYD SHIPPING - Ackroyd Shipping is expected to announce a special dividend to all its common shareholders. Your analyst flags a risk that retained earnings could take a hit if this plan goes through.,-0.007047134935304844,0.0038928866344223323,0.008456356600258008,9.767532721260963e-05,-0.0005686664771111793,-0.001693320790216113
"NEWS REGARDING ACKROYD SHIPPING - Ackroyd Shipping raised workers wages following threat of a strike, decreasing EBIT by $700 million.",-0.0011405398555314195,-0.002495632642874668,-0.009976598103214607,-0.0011926058437683462,-0.0009986019572596483,0.0006117455138665573
NEWS REGARDING ACKROYD SHIPPING - Ackroyd Shipping’s headquarters have been severely impacted by the recent flood that hit the East Coast. Analysts believe that this may have a negative impact on sales,0.016413082544627144,0.009424842919284693,0.008479783704067989,0.0007827022796202954,0.004725804863641159,0.015274846749070425
"NEWS REGARDING BERGMAN TELECOM - Bergman Telecom confirmed it will invest additional funds in R&D. The CEO announced that this will be entirely financed through long-term debt, affecting it by $1.5 billion.",-0.0004466944609886614,-0.026499482936918062,0.0020002500312545912,-0.00019952114924148834,0.00010019036168706918,0.0011126846044915428
"NEWS REGARDING BERGMAN TELECOM - Bergman Telecom has revealed its plan to cut costs during the current industry downturn in order to maintain a strong financial position. The company has laid off 2300 workers, and will spend less on advertising. Overall, EBIT is affected by $200 million.",0.00993295257015192,0.005847225678029755,-0.0058895705521473385,-0.0007819372495352361,0.0004971661529284965,-0.0006137479541729052
